county_state,countyfips,state_name,county_name,NIC_2019,NIC_2020,NUI_2019,NUI_2020,nic_moe_2019,nic_moe_2020,nui_moe_2019,nui_moe_2020,statefips
"Allen County, KY",3,KY,Allen County,15748.0,15837.0,1454.0,1272.0,193.0,202.0,193.0,202.0,21
"Anderson County, KY",5,KY,Anderson County,17702.0,17582.0,1271.0,1357.0,170.0,210.0,170.0,210.0,21
"Ballard County, KY",7,KY,Ballard County,5618.0,5481.0,438.0,487.0,57.0,73.0,57.0,73.0,21
"Barren County, KY",9,KY,Barren County,32708.0,32429.0,2866.0,3013.0,370.0,453.0,370.0,453.0,21
"Bath County, KY",11,KY,Bath County,9318.0,9361.0,885.0,716.0,117.0,115.0,117.0,115.0,21
"Bell County, KY",13,KY,Bell County,18005.0,17770.0,1765.0,1336.0,244.0,220.0,244.0,220.0,21
"Boone County, KY",15,KY,Boone County,108423.0,109385.0,6474.0,6912.0,811.0,930.0,811.0,930.0,21
"Bourbon County, KY",17,KY,Bourbon County,14162.0,14295.0,1465.0,1288.0,190.0,197.0,190.0,197.0,21
"Boyd County, KY",19,KY,Boyd County,33056.0,33051.0,2519.0,2181.0,329.0,324.0,329.0,324.0,21
"Boyle County, KY",21,KY,Boyle County,19718.0,19983.0,1385.0,1406.0,186.0,214.0,186.0,214.0,21
"Bracken County, KY",23,KY,Bracken County,6314.0,6239.0,501.0,472.0,67.0,73.0,67.0,73.0,21
"Breathitt County, KY",25,KY,Breathitt County,9249.0,9312.0,780.0,572.0,108.0,94.0,108.0,94.0,21
"Breckinridge County, KY",27,KY,Breckinridge County,14650.0,14753.0,1427.0,1194.0,183.0,182.0,183.0,182.0,21
"Bullitt County, KY",29,KY,Bullitt County,64150.0,64544.0,4141.0,3745.0,511.0,520.0,511.0,520.0,21
"Butler County, KY",31,KY,Butler County,9267.0,9075.0,992.0,961.0,124.0,143.0,124.0,143.0,21
"Caldwell County, KY",33,KY,Caldwell County,9121.0,9080.0,785.0,715.0,106.0,113.0,106.0,113.0,21
"Calloway County, KY",35,KY,Calloway County,26376.0,26190.0,2618.0,2814.0,350.0,446.0,350.0,446.0,21
"Campbell County, KY",37,KY,Campbell County,71992.0,71844.0,4324.0,4266.0,542.0,600.0,542.0,600.0,21
"Carlisle County, KY",39,KY,Carlisle County,3351.0,3309.0,350.0,355.0,45.0,52.0,45.0,52.0,21
"Carroll County, KY",41,KY,Carroll County,7997.0,7991.0,713.0,718.0,98.0,115.0,98.0,115.0,21
"Carter County, KY",43,KY,Carter County,18999.0,18780.0,1860.0,1744.0,242.0,258.0,242.0,258.0,21
