county_state,COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
"Charlton County, GA",49,GA,Charlton County,13,13392,12530,12766
"Chatham County, GA",51,GA,Chatham County,13,289430,294904,296329
"Chattahoochee County, GA",53,GA,Chattahoochee County,13,10907,9482,9048
"Chattooga County, GA",55,GA,Chattooga County,13,24789,24921,24932
"Cherokee County, GA",57,GA,Cherokee County,13,26196,268043,274615
"Clarke County, GA",59,GA,Clarke County,13,23622,128489,128711
"Clay County, GA",61,GA,Clay County,13,13235,2835,2882
"Clayton County, GA",63,GA,Clayton County,13,292256,297417,297100
"Clinch County, GA",65,GA,Clinch County,13,6618,6723,6725
"Cobb County, GA",67,GA,Cobb County,13,760141,766209,766802
"Coffee County, GA",69,GA,Coffee County,13,52342,43047,43386
"Colquitt County, GA",71,GA,Colquitt County,13,45600,45866,45812
"Columbia County, GA",73,GA,Columbia County,13,23457,156773,159639
"Cook County, GA",75,GA,Cook County,13,17270,17232,17225
"Coweta County, GA",77,GA,Coweta County,13,148509,146653,149956
"Crawford County, GA",79,GA,Crawford County,13,63257,12100,12153
"Crisp County, GA",81,GA,Crisp County,13,22372,20042,19879
"Dade County, GA",83,GA,Dade County,13,16116,16224,16326
"Dawson County, GA",85,GA,Dawson County,13,26108,27047,28497
"Decatur County, GA",87,GA,Decatur County,13,26404,29338,29038
"DeKalb County, GA",89,GA,DeKalb County,13,71513,763831,757718
"Dodge County, GA",91,GA,Dodge County,13,20605,19849,19759
"Dooly County, GA",93,GA,Dooly County,13,13390,11142,10885
"Dougherty County, GA",95,GA,Dougherty County,13,87956,85366,84844
"Douglas County, GA",97,GA,Douglas County,13,351154,144497,145814
"Early County, GA",99,GA,Early County,13,10190,10813,10619
"Echols County, GA",101,GA,Echols County,13,4006,3696,3699
"Effingham County, GA",103,GA,Effingham County,13,64296,65150,66741
"Elbert County, GA",105,GA,Elbert County,13,26729,19627,19579
"Emanuel County, GA",107,GA,Emanuel County,13,22646,22730,22716
"Evans County, GA",109,GA,Evans County,13,10654,10757,10672
"Fannin County, GA",111,GA,Fannin County,13,26188,25396,25817
"Fayette County, GA",113,GA,Fayette County,13,16302,119441,120574
"Floyd County, GA",115,GA,Floyd County,13,98498,98593,98771
"Forsyth County, GA",117,GA,Forsyth County,13,244252,252786,260206
"Franklin County, GA",119,GA,Franklin County,13,31362,23429,23785
"Fulton County, GA",121,GA,Fulton County,13,12477,1069023,1065334
"Gilmer County, GA",123,GA,Gilmer County,13,31369,31429,32026
"Glascock County, GA",125,GA,Glascock County,13,2971,2883,2919
"Glynn County, GA",127,GA,Glynn County,13,85292,84470,84739
"Gordon County, GA",129,GA,Gordon County,13,57963,57696,58237
"Grady County, GA",131,GA,Grady County,13,24633,26221,25918
"Greene County, GA",133,GA,Greene County,13,8111,19025,19536
"Gwinnett County, GA",135,GA,Gwinnett County,13,936250,957801,964546
"Habersham County, GA",137,GA,Habersham County,13,45328,46105,46774
"Hall County, GA",139,GA,Hall County,13,204441,203589,207369
"Hancock County, GA",141,GA,Hancock County,13,8457,8722,8630
"Haralson County, GA",143,GA,Haralson County,13,29792,29985,30572
"Harris County, GA",145,GA,Harris County,13,35236,34927,35626
"Hart County, GA",147,GA,Hart County,13,26205,25866,26409
"Heard County, GA",149,GA,Heard County,13,11923,11465,11565
"Henry County, GA",151,GA,Henry County,13,17205,241818,245235
"Houston County, GA",153,GA,Houston County,13,105882,164242,166829
"Irwin County, GA",155,GA,Irwin County,13,9416,9643,9618
"Jackson County, GA",157,GA,Jackson County,13,51626,76712,80286
"Jasper County, GA",159,GA,Jasper County,13,14219,14638,15278
"Jeff Davis County, GA",161,GA,Jeff Davis County,13,15115,14777,14872
"Jefferson County, GA",163,GA,Jefferson County,13,658573,15658,15524
"Jenkins County, GA",165,GA,Jenkins County,13,8676,8662,8639
"Johnson County, GA",167,GA,Johnson County,13,26578,9168,9160
"Jones County, GA",169,GA,Jones County,13,28735,28356,28400
"Lamar County, GA",171,GA,Lamar County,13,13805,18550,19080
"Lanier County, GA",173,GA,Lanier County,13,10423,9916,9907
"Laurens County, GA",175,GA,Laurens County,13,47546,49497,49547
"Lee County, GA",177,GA,Lee County,13,164542,33179,33411
"Liberty County, GA",179,GA,Liberty County,13,8354,65220,65711
"Lincoln County, GA",181,GA,Lincoln County,13,13024,7704,7749
"Long County, GA",183,GA,Long County,13,19559,16287,17152
"Lowndes County, GA",185,GA,Lowndes County,13,9726,118316,119276
"Lumpkin County, GA",187,GA,Lumpkin County,13,33610,33596,34278
"McDuffie County, GA",189,GA,McDuffie County,13,21312,21587,21633
"McIntosh County, GA",191,GA,McIntosh County,13,14378,10982,11123
"Macon County, GA",193,GA,Macon County,13,18068,12021,12004
"Madison County, GA",195,GA,Madison County,13,372909,30263,30885
"Marion County, GA",197,GA,Marion County,13,29709,7520,7440
"Meriwether County, GA",199,GA,Meriwether County,13,21167,20619,20793
"Miller County, GA",201,GA,Miller County,13,43257,5987,5919
"Mitchell County, GA",205,GA,Mitchell County,13,21863,21677,21521
"Monroe County, GA",207,GA,Monroe County,13,20733,28046,28712
"Montgomery County, GA",209,GA,Montgomery County,13,226486,8577,8653
"Morgan County, GA",211,GA,Morgan County,13,119679,20174,20635
"Murray County, GA",213,GA,Murray County,13,40096,39938,39951
"Muscogee County, GA",215,GA,Muscogee County,13,195769,206960,205617
"Newton County, GA",217,GA,Newton County,13,7753,112780,115355
"Oconee County, GA",219,GA,Oconee County,13,40280,42021,43023
"Oglethorpe County, GA",221,GA,Oglethorpe County,13,15259,14865,15140
"Paulding County, GA",223,GA,Paulding County,13,168667,169660,173780
"Peach County, GA",225,GA,Peach County,13,27546,28035,28417
"Pickens County, GA",227,GA,Pickens County,13,19930,33333,34024
"Pierce County, GA",229,GA,Pierce County,13,19465,19722,19976
"Pike County, GA",231,GA,Pike County,13,33114,18935,19477
"Polk County, GA",233,GA,Polk County,13,19964,42925,43496
"Pulaski County, GA",235,GA,Pulaski County,13,391911,9863,9917
"Putnam County, GA",237,GA,Putnam County,13,74521,22140,22585
"Quitman County, GA",239,GA,Quitman County,13,2299,2224,2243
"Rabun County, GA",241,GA,Rabun County,13,17137,16894,17119
"Randolph County, GA",243,GA,Randolph County,13,22722,6377,6287
"Richmond County, GA",245,GA,Richmond County,13,202518,206328,205673
"Rockdale County, GA",247,GA,Rockdale County,13,90896,93614,94082
"Schley County, GA",249,GA,Schley County,13,5257,4538,4478
"Screven County, GA",251,GA,Screven County,13,13966,14060,14105
"Seminole County, GA",253,GA,Seminole County,13,471826,9138,9197
"Spalding County, GA",255,GA,Spalding County,13,66703,67413,67909
"Stephens County, GA",257,GA,Stephens County,13,25925,26800,26865
"Stewart County, GA",259,GA,Stewart County,13,6621,5295,5341
"Sumter County, GA",261,GA,Sumter County,13,12427,29553,29283
"Talbot County, GA",263,GA,Talbot County,13,6195,5731,5742
"Taliaferro County, GA",265,GA,Taliaferro County,13,1537,1557,1558
"Tattnall County, GA",267,GA,Tattnall County,13,25286,22852,23052
"Taylor County, GA",269,GA,Taylor County,13,21569,7814,7799
"Telfair County, GA",271,GA,Telfair County,13,15860,12461,12414
"Terrell County, GA",273,GA,Terrell County,13,8531,9153,8964
"Thomas County, GA",275,GA,Thomas County,13,44451,45766,45842
"Tift County, GA",277,GA,Tift County,13,40644,41348,41212
"Toombs County, GA",279,GA,Toombs County,13,26830,27052,26911
"Towns County, GA",281,GA,Towns County,13,12037,12539,12875
"Treutlen County, GA",283,GA,Treutlen County,13,6901,6390,6306
"Troup County, GA",285,GA,Troup County,13,69922,69388,69720
"Turner County, GA",287,GA,Turner County,13,7985,8971,8966
"Twiggs County, GA",289,GA,Twiggs County,13,8120,7986,7856
"Union County, GA",291,GA,Union County,13,38682,24766,25521
"Upson County, GA",293,GA,Upson County,13,26320,27712,27720
"Walker County, GA",295,GA,Walker County,13,63521,67711,68510
"Walton County, GA",297,GA,Walton County,13,74071,97135,99853
"Ware County, GA",299,GA,Ware County,13,35734,36218,36033
"Warren County, GA",301,GA,Warren County,13,5254,5205,5240
"Washington County, GA",303,GA,Washington County,13,16326,19927,19785
"Wayne County, GA",305,GA,Wayne County,13,29927,30155,30380
"Webster County, GA",307,GA,Webster County,13,2607,2350,2367
"Wheeler County, GA",309,GA,Wheeler County,13,7855,7430,7471
"White County, GA",311,GA,White County,13,78753,28090,28442
"Whitfield County, GA",313,GA,Whitfield County,13,104628,102727,102848
"Wilcox County, GA",315,GA,Wilcox County,13,10373,8731,8739
"Wilkes County, GA",317,GA,Wilkes County,13,9777,9556,9513
"Wilkinson County, GA",319,GA,Wilkinson County,13,8954,8844,8831
"Worth County, GA",321,GA,Worth County,13,20247,20719,20554
"Hawaii County, HI",1,HI,Hawaii County,15,201513,200746,202906
"Honolulu County, HI",3,HI,Honolulu County,15,974563,1013227,1000890
"Kalawao County, HI",5,HI,Kalawao County,15,86,82,82
"Kauai County, HI",7,HI,Kauai County,15,72293,73201,73454
"Maui County, HI",9,HI,Maui County,15,167417,164655,164221
"Ada County, ID",1,ID,Ada County,16,481587,497984,511931
"Adams County, ID",3,ID,Adams County,16,517421,4424,4625
"Bannock County, ID",5,ID,Bannock County,16,87808,87177,88263
"Bear Lake County, ID",7,ID,Bear Lake County,16,6125,6370,6545
"Benewah County, ID",9,ID,Benewah County,16,9298,9576,9931
"Bingham County, ID",11,ID,Bingham County,16,46811,48068,48876
"Blaine County, ID",13,ID,Blaine County,16,23021,24327,24766
"Boise County, ID",15,ID,Boise County,16,7831,7647,8094
"Bonner County, ID",17,ID,Bonner County,16,45739,47390,49491
"Bonneville County, ID",19,ID,Bonneville County,16,119062,124626,127930
"Boundary County, ID",21,ID,Boundary County,16,12245,12113,12561
"Butte County, ID",23,ID,Butte County,16,219186,2577,2654
"Camas County, ID",25,ID,Camas County,16,1106,1089,1139
"Canyon County, ID",27,ID,Canyon County,16,229849,232714,243115
"Caribou County, ID",29,ID,Caribou County,16,7155,7015,7111
"Cassia County, ID",31,ID,Cassia County,16,24030,24699,25164
"Clark County, ID",33,ID,Clark County,16,22320,792,792
"Clearwater County, ID",35,ID,Clearwater County,16,8756,8750,8895
"Custer County, ID",37,ID,Custer County,16,5068,4266,4428
"Elmore County, ID",39,ID,Elmore County,16,81209,28668,28827
"Franklin County, ID",41,ID,Franklin County,16,31362,14269,14666
"Fremont County, ID",43,ID,Fremont County,16,47839,13404,13592
"Gem County, ID",45,ID,Gem County,16,18112,19258,19792
"Gooding County, ID",47,ID,Gooding County,16,15179,15643,15772
"Idaho County, ID",49,ID,Idaho County,16,16667,16561,17040
"Jefferson County, ID",51,ID,Jefferson County,16,658573,31055,32202
"Jerome County, ID",53,ID,Jerome County,16,24412,24222,24662
"Kootenai County, ID",55,ID,Kootenai County,16,165697,172646,179789
"Latah County, ID",57,ID,Latah County,16,40108,39611,40313
"Lemhi County, ID",59,ID,Lemhi County,16,8027,7948,8162
"Lewis County, ID",61,ID,Lewis County,16,3838,3531,3715
"Lincoln County, ID",63,ID,Lincoln County,16,13024,5133,5282
"Madison County, ID",65,ID,Madison County,16,372909,52876,53881
"Minidoka County, ID",67,ID,Minidoka County,16,21039,21674,21955
"Nez Perce County, ID",69,ID,Nez Perce County,16,40408,42088,42454
"Oneida County, ID",71,ID,Oneida County,16,4531,4554,4611
"Owyhee County, ID",73,ID,Owyhee County,16,11823,11978,12336
"Payette County, ID",75,ID,Payette County,16,23951,25589,26350
"Power County, ID",77,ID,Power County,16,7681,7879,7950
"Shoshone County, ID",79,ID,Shoshone County,16,12882,13189,13612
"Teton County, ID",81,ID,Teton County,16,12142,11731,12267
"Twin Falls County, ID",83,ID,Twin Falls County,16,86878,90279,92243
"Valley County, ID",85,ID,Valley County,16,11392,11838,12241
"Washington County, ID",87,ID,Washington County,16,16326,10544,10898
"Adams County, IL",1,IL,Adams County,17,517421,65530,64954
"Alexander County, IL",3,IL,Alexander County,17,5761,5168,5030
"Bond County, IL",5,IL,Bond County,17,16426,16663,16596
"Boone County, IL",7,IL,Boone County,17,37432,53326,53159
"Brown County, IL",9,IL,Brown County,17,6578,6217,6421
"Bureau County, IL",11,IL,Bureau County,17,32628,33118,32883
"Calhoun County, IL",13,IL,Calhoun County,17,113605,4411,4369
"Carroll County, IL",15,IL,Carroll County,17,28380,15664,15698
"Cass County, IL",17,IL,Cass County,17,12147,12956,12773
"Champaign County, IL",19,IL,Champaign County,17,209689,205469,205943
"Christian County, IL",21,IL,Christian County,17,32304,33900,33662
"Clark County, IL",23,IL,Clark County,17,22320,15407,15300
"Clay County, IL",25,IL,Clay County,17,13235,13267,13143
"Clinton County, IL",27,IL,Clinton County,17,37562,36896,36793
"Coles County, IL",29,IL,Coles County,17,50621,46737,46765
"Cook County, IL",31,IL,Cook County,17,17270,5262741,5173146
"Crawford County, IL",33,IL,Crawford County,17,63257,18639,18659
"Cumberland County, IL",35,IL,Cumberland County,17,10766,10428,10345
"DeKalb County, IL",37,IL,DeKalb County,17,71513,100233,100414
"De Witt County, IL",39,IL,De Witt County,17,15638,15441,15341
"Douglas County, IL",41,IL,Douglas County,17,351154,19742,19722
"DuPage County, IL",43,IL,DuPage County,17,922921,931153,924885
"Edgar County, IL",45,IL,Edgar County,17,17161,16755,16520
"Edwards County, IL",47,IL,Edwards County,17,6395,6205,6075
"Effingham County, IL",49,IL,Effingham County,17,64296,34614,34430
"Fayette County, IL",51,IL,Fayette County,17,16302,21460,21384
"Ford County, IL",53,IL,Ford County,17,12961,13533,13511
"Franklin County, IL",55,IL,Franklin County,17,31362,37636,37442
"Fulton County, IL",57,IL,Fulton County,17,12477,33440,33197
"Gallatin County, IL",59,IL,Gallatin County,17,4828,4947,4903
"Greene County, IL",61,IL,Greene County,17,8111,11915,11843
"Grundy County, IL",63,IL,Grundy County,17,51054,52514,52989
"Hamilton County, IL",65,IL,Hamilton County,17,14428,7977,7911
"Hancock County, IL",67,IL,Hancock County,17,8457,17552,17400
"Hardin County, IL",69,IL,Hardin County,17,3821,3634,3650
"Henderson County, IL",71,IL,Henderson County,17,6646,6339,6312
"Henry County, IL",73,IL,Henry County,17,17205,49138,48907
"Iroquois County, IL",75,IL,Iroquois County,17,27114,26984,26827
"Jackson County, IL",77,IL,Jackson County,17,51626,52896,52565
"Jasper County, IL",79,IL,Jasper County,17,14219,9247,9193
"Jefferson County, IL",81,IL,Jefferson County,17,658573,37029,36877
"Jersey County, IL",83,IL,Jersey County,17,21773,21444,21333
"Jo Daviess County, IL",85,IL,Jo Daviess County,17,21235,22035,21939
"Johnson County, IL",87,IL,Johnson County,17,26578,13307,13463
"Kane County, IL",89,IL,Kane County,17,532403,516155,515588
"Kankakee County, IL",91,IL,Kankakee County,17,109862,107236,106601
"Kendall County, IL",93,IL,Kendall County,17,128990,132291,134867
"Knox County, IL",95,IL,Knox County,17,49699,49736,49268
"Lake County, IL",97,IL,Lake County,17,64386,713217,711239
"LaSalle County, IL",99,IL,LaSalle County,17,108669,109359,108965
"Lawrence County, IL",101,IL,Lawrence County,17,32924,15234,15152
"Lee County, IL",103,IL,Lee County,17,164542,34021,34049
"Livingston County, IL",105,IL,Livingston County,17,35648,35752,35664
"Logan County, IL",107,IL,Logan County,17,21466,27879,27992
"McDonough County, IL",109,IL,McDonough County,17,29682,27079,26828
"McHenry County, IL",111,IL,McHenry County,17,307774,309770,311122
"McLean County, IL",113,IL,McLean County,17,171517,170870,170889
"Macon County, IL",115,IL,Macon County,17,18068,103647,102432
"Macoupin County, IL",117,IL,Macoupin County,17,44926,44810,44406
"Madison County, IL",119,IL,Madison County,17,372909,265498,264490
"Marion County, IL",121,IL,Marion County,17,29709,37613,37390
"Marshall County, IL",123,IL,Marshall County,17,96774,11691,11663
"Mason County, IL",125,IL,Mason County,17,13359,13026,12881
"Massac County, IL",127,IL,Massac County,17,13772,14125,13960
"Menard County, IL",129,IL,Menard County,17,12196,12265,12164
"Mercer County, IL",131,IL,Mercer County,17,15437,15633,15582
"Monroe County, IL",133,IL,Monroe County,17,20733,34898,34932
"Montgomery County, IL",135,IL,Montgomery County,17,226486,28157,28084
"Morgan County, IL",137,IL,Morgan County,17,119679,32798,32606
"Moultrie County, IL",139,IL,Moultrie County,17,14501,14486,14510
"Ogle County, IL",141,IL,Ogle County,17,50643,51678,51449
"Peoria County, IL",143,IL,Peoria County,17,179179,181225,179432
"Perry County, IL",145,IL,Perry County,17,8923,20880,20985
"Piatt County, IL",147,IL,Piatt County,17,16344,16654,16753
"Pike County, IL",149,IL,Pike County,17,33114,14633,14618
"Pope County, IL",151,IL,Pope County,17,64072,3744,3779
"Pulaski County, IL",153,IL,Pulaski County,17,391911,5161,5065
"Putnam County, IL",155,IL,Putnam County,17,74521,5635,5566
"Randolph County, IL",157,IL,Randolph County,17,22722,30055,30142
"Richland County, IL",159,IL,Richland County,17,15513,15803,15796
"Rock Island County, IL",161,IL,Rock Island County,17,141879,144267,142909
"St. Clair County, IL",163,IL,St. Clair County,17,89512,256789,254796
"Saline County, IL",165,IL,Saline County,17,122437,23634,23320
"Sangamon County, IL",167,IL,Sangamon County,17,194672,196012,194734
"Schuyler County, IL",169,IL,Schuyler County,17,6768,6875,6843
"Scott County, IL",171,IL,Scott County,17,10281,4927,4836
"Shelby County, IL",173,IL,Shelby County,17,217702,20900,20789
"Stark County, IL",175,IL,Stark County,17,5342,5391,5294
"Stephenson County, IL",177,IL,Stephenson County,17,44498,44457,44021
"Tazewell County, IL",179,IL,Tazewell County,17,131803,131018,130413
"Union County, IL",181,IL,Union County,17,38682,17179,16923
"Vermilion County, IL",183,IL,Vermilion County,17,75758,73883,73095
"Wabash County, IL",185,IL,Wabash County,17,11520,11316,11202
"Warren County, IL",187,IL,Warren County,17,5254,16777,16531
"Washington County, IL",189,IL,Washington County,17,16326,13711,13655
"Wayne County, IL",191,IL,Wayne County,17,29927,16121,15963
"White County, IL",193,IL,White County,17,78753,13808,13784
"Whiteside County, IL",195,IL,Whiteside County,17,55175,55509,55305
"Will County, IL",197,IL,Will County,17,690743,695903,697252
"Williamson County, IL",199,IL,Williamson County,17,66597,67094,66879
"Winnebago County, IL",201,IL,Winnebago County,17,282572,284858,283119
"Woodford County, IL",203,IL,Woodford County,17,38459,38395,38225
"Adams County, IN",1,IN,Adams County,18,517421,35826,35961
"Allen County, IN",3,IN,Allen County,18,379299,385892,388608
"Bartholomew County, IN",5,IN,Bartholomew County,18,83779,82157,82475
"Benton County, IN",7,IN,Benton County,18,279141,8712,8714
"Blackford County, IN",9,IN,Blackford County,18,11758,12098,12091
"Boone County, IN",11,IN,Boone County,18,37432,71169,73052
"Brown County, IN",13,IN,Brown County,18,6578,15470,15552
"Carroll County, IN",15,IN,Carroll County,18,28380,20307,20444
"Cass County, IN",17,IN,Cass County,18,12147,37771,37563
"Clark County, IN",19,IN,Clark County,18,22320,121282,122738
