county_state,COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
"Pasco County, FL",101,FL,Pasco County,12,553947,565745,584067
"Pinellas County, FL",103,FL,Pinellas County,12,974996,958752,956615
"Polk County, FL",105,FL,Polk County,12,19964,729233,753520
"Putnam County, FL",107,FL,Putnam County,12,74521,73347,74167
"St. Johns County, FL",109,FL,St. Johns County,12,264672,276916,292466
"St. Lucie County, FL",111,FL,St. Lucie County,12,328297,331275,343579
"Santa Rosa County, FL",113,FL,Santa Rosa County,12,184313,189133,193998
"Sarasota County, FL",115,FL,Sarasota County,12,433742,435664,447057
"Seminole County, FL",117,FL,Seminole County,12,471826,471058,470093
"Sumter County, FL",119,FL,Sumter County,12,12427,130897,135638
"Suwannee County, FL",121,FL,Suwannee County,12,44417,43510,44485
"Taylor County, FL",123,FL,Taylor County,12,21569,21760,21815
"Union County, FL",125,FL,Union County,12,38682,16126,16335
"Volusia County, FL",127,FL,Volusia County,12,553284,554901,564412
"Wakulla County, FL",129,FL,Wakulla County,12,33739,33907,34690
"Walton County, FL",131,FL,Walton County,12,74071,75855,80069
"Washington County, FL",133,FL,Washington County,12,16326,25357,25436
"Appling County, GA",1,GA,Appling County,13,18386,18428,18488
"Atkinson County, GA",3,GA,Atkinson County,13,8165,8301,8391
"Bacon County, GA",5,GA,Bacon County,13,11164,11123,11079
"Baker County, GA",7,GA,Baker County,13,29210,2844,2819
"Baldwin County, GA",9,GA,Baldwin County,13,223234,43773,43781
"Banks County, GA",11,GA,Banks County,13,19234,18069,18562
"Barrow County, GA",13,GA,Barrow County,13,83240,83963,86658
"Bartow County, GA",15,GA,Bartow County,13,107738,109311,110843
"Ben Hill County, GA",17,GA,Ben Hill County,13,16700,17153,17158
"Berrien County, GA",19,GA,Berrien County,13,19397,18159,18147
"Bibb County, GA",21,GA,Bibb County,13,22394,157104,156762
"Bleckley County, GA",23,GA,Bleckley County,13,12873,12577,12607
"Brantley County, GA",25,GA,Brantley County,13,19109,18040,18101
"Brooks County, GA",27,GA,Brooks County,13,15457,16232,16270
"Bryan County, GA",29,GA,Bryan County,13,39627,44999,46938
"Bulloch County, GA",31,GA,Bulloch County,13,79608,81378,82442
"Burke County, GA",33,GA,Burke County,13,22383,24621,24310
"Butts County, GA",35,GA,Butts County,13,24936,25542,25781
"Calhoun County, GA",37,GA,Calhoun County,13,113605,5560,5509
"Camden County, GA",39,GA,Camden County,13,54666,54911,55664
"Candler County, GA",43,GA,Candler County,13,10803,11001,11037
"Carroll County, GA",45,GA,Carroll County,13,28380,119463,121968
"Catoosa County, GA",47,GA,Catoosa County,13,67580,67976,68397
